source,scenario,format,spark_runtime,runs,avg_duration_ms,p50_duration_ms,p95_duration_ms,min_duration_ms,max_duration_ms,avg_selectivity,spark_version,passed
benchmark,text_search,orc,spark32-orc,1,190956.0,190956.0,190956.0,190956,190956,0.25,3.2.1.3.5.7.0-1-SNAPSHOT,""
benchmark,filter_log_format,orc,spark32-orc,1,185115.0,185115.0,185115.0,185115,185115,0.25,3.2.1.3.5.7.0-1-SNAPSHOT,""
benchmark,filter_timestamp_range,orc,spark32-orc,1,182244.0,182244.0,182244.0,182244,182244,1.0,3.2.1.3.5.7.0-1-SNAPSHOT,""
benchmark,filter_high_cardinality,orc,spark32-orc,1,180080.0,180080.0,180080.0,180080,180080,9.313225954321608E-8,3.2.1.3.5.7.0-1-SNAPSHOT,""
benchmark,group_by,orc,spark32-orc,1,194048.0,194048.0,194048.0,194048,194048,4.656612977160804E-6,3.2.1.3.5.7.0-1-SNAPSHOT,""
benchmark,filter_medium_cardinality,orc,spark32-orc,1,189618.0,189618.0,189618.0,189618,189618,2.300832472015153E-4,3.2.1.3.5.7.0-1-SNAPSHOT,""
benchmark,filter_combined,orc,spark32-orc,1,186063.0,186063.0,186063.0,186063,186063,0.25,3.2.1.3.5.7.0-1-SNAPSHOT,""
benchmark,filter_low_cardinality,orc,spark32-orc,1,186255.0,186255.0,186255.0,186255,186255,0.009999983236193282,3.2.1.3.5.7.0-1-SNAPSHOT,""
benchmark,full_scan,orc,spark32-orc,1,190419.0,190419.0,190419.0,190419,190419,1.0,3.2.1.3.5.7.0-1-SNAPSHOT,""
benchmark,projection,orc,spark32-orc,1,187791.0,187791.0,187791.0,187791,187791,1.0,3.2.1.3.5.7.0-1-SNAPSHOT,""
